timestamp,node_id,instance_type,cpu_utilization_pct,memory_utilization_pct,storage_used_gb,network_io_mbps,workload_type
2026-05-01T00:00:00Z,Node-01,c5.4xlarge,52.3,64.1,210.0,118.5,saas_growth
2026-05-01T06:00:00Z,Node-01,c5.4xlarge,61.8,67.4,212.0,123.2,saas_growth
2026-05-01T12:00:00Z,Node-01,c5.4xlarge,74.5,71.2,214.0,135.0,saas_growth
2026-05-01T18:00:00Z,Node-01,c5.4xlarge,68.2,69.8,216.0,128.4,saas_growth
2026-05-02T00:00:00Z,Node-01,c5.4xlarge,55.1,65.0,218.0,120.1,saas_growth
2026-05-02T06:00:00Z,Node-01,c5.4xlarge,63.9,68.9,220.0,125.6,saas_growth
2026-05-02T12:00:00Z,Node-01,c5.4xlarge,79.2,73.5,222.0,140.2,saas_growth
2026-05-02T18:00:00Z,Node-01,c5.4xlarge,71.0,70.1,224.0,131.7,saas_growth
2026-05-03T00:00:00Z,Node-01,c5.4xlarge,57.4,66.2,226.0,121.8,saas_growth
2026-05-03T06:00:00Z,Node-01,c5.4xlarge,65.3,70.0,228.0,127.3,saas_growth
2026-05-03T12:00:00Z,Node-01,c5.4xlarge,82.4,75.8,230.0,142.9,saas_growth
2026-05-03T18:00:00Z,Node-01,c5.4xlarge,73.1,72.3,232.0,134.0,saas_growth
2026-05-01T00:00:00Z,Node-02,c5.2xlarge,38.0,52.0,205.0,105.0,saas_growth
2026-05-01T06:00:00Z,Node-02,c5.2xlarge,44.5,55.3,206.0,109.2,saas_growth
2026-05-01T12:00:00Z,Node-02,c5.2xlarge,51.2,58.9,207.0,115.5,saas_growth
2026-05-01T18:00:00Z,Node-02,c5.2xlarge,47.8,56.4,208.0,111.8,saas_growth
2026-05-02T00:00:00Z,Node-02,c5.2xlarge,39.2,53.1,209.0,106.3,saas_growth
2026-05-02T06:00:00Z,Node-02,c5.2xlarge,46.0,56.8,210.0,110.5,saas_growth
2026-05-02T12:00:00Z,Node-02,c5.2xlarge,52.4,60.2,211.0,116.9,saas_growth
2026-05-02T18:00:00Z,Node-02,c5.2xlarge,49.1,57.9,212.0,113.2,saas_growth
2026-05-01T00:00:00Z,Node-03,m5.2xlarge,40.5,50.2,205.0,102.4,saas_growth
2026-05-01T06:00:00Z,Node-03,m5.2xlarge,46.1,53.8,206.0,107.1,saas_growth
2026-05-01T12:00:00Z,Node-03,m5.2xlarge,53.7,57.4,207.0,113.6,saas_growth
2026-05-01T18:00:00Z,Node-03,m5.2xlarge,49.3,55.1,208.0,109.8,saas_growth
